state,year,poorhealth,neversmoke,pastsmoke,somesmoke,dailysmoke,bingedrinker,genhealth0,genhealth1_13,genhealth14_30
Illinois,2014,.17069176,.59479845,.24132568,.052047469,.11182839,.19848217,.59803951,.27241036,.12955011
Illinois,2015,.16811499,.60466498,.246483,.050151415,.098700628,.20091161,.59527487,.29574743,.10897774
Illinois,2016,.17944944,.60727441,.23482923,.051274989,.10662135,.20271429,.56494737,.30245301,.13259964
Illinois,2017,.17783441,.60677397,.23455441,.051483579,.10718806,.20592491,.57413954,.29156339,.13429704
Illinois,2018,.18241403,.64834082,.20403272,.046311129,.10131534,.14288017,.54181021,.36939102,.088798784
Indiana,2013,.1810396,.52826893,.25166693,.052726164,.16733794,.15018043,.59184253,.25908694,.14907055
Indiana,2014,.18867362,.53092986,.23991057,.059698395,.16946118,.14745642,.57609236,.2529856,.17092201
Indiana,2015,.18849698,.53903282,.25474018,.058763154,.14746386,.15657805,.59468156,.25531238,.15000604
Indiana,2016,.18422627,.54432076,.24544388,.05680652,.15342885,.17635413,.60335129,.24753825,.14911044
Indiana,2017,.20568289,.53780669,.2443541,.059886057,.15795316,.16546632,.56030476,.27204448,.16765076
Indiana,2018,0,.48730555,.51269442,0,0,.46465728,.55633348,.27964011,.16402645
Iowa,2013,.14334498,.56188238,.24334288,.044517595,.15025716,.21710666,.62175626,.24867274,.12957099
Iowa,2014,.13664937,.55796665,.25641781,.04829723,.13731833,.21372126,.6314919,.25003532,.11847279
Iowa,2015,.13030729,.56321949,.25644812,.049983501,.13034888,.19872428,.65095913,.22300825,.12603264
Iowa,2016,.13911285,.57900715,.25324717,.041709222,.12603649,.21018498,.60706139,.26864141,.12429722
Iowa,2017,.15385717,.58424926,.24514212,.044726238,.1258824,.21205282,.58282733,.27336508,.14380762
Iowa,2018,.020231068,.62676412,.18905197,.054580774,.12960313,.15458605,.66786522,.11622487,.21590988
Kansas,2013,.15444474,.55935538,.24106444,.05455222,.14502797,.15310597,.60755438,.26512769,.12731792
Kansas,2014,.15370645,.58286744,.23559144,.050429039,.13111207,.15909413,.6006366,.26668149,.13268194
Kansas,2015,.15715793,.58220398,.24210279,.051870067,.12382316,.15470035,.61051941,.25423229,.1352483
Kansas,2016,.15430543,.58564723,.23955247,.048219062,.12658124,.16237824,.60881704,.25317255,.13801041
Kansas,2017,.1681674,.58268774,.24256317,.053173631,.12157549,.17241216,.59161842,.26413628,.1442453
Kansas,2018,.14414695,.59661412,.25051546,.040626418,.11224402,.16749166,.57749426,.29133365,.13117211
Kentucky,2013,.23331496,.4757407,.26003581,.05995765,.20426582,.13422653,.57079351,.2330685,.19613799
Kentucky,2014,.24265006,.4833169,.2545298,.057328247,.20482503,.1268436,.55005693,.23136806,.218575
Kentucky,2015,.22392321,.48866028,.25319555,.054167382,.2039768,.15162945,.5385657,.25458455,.20684974
Kentucky,2016,.22471264,.50751096,.24630304,.057177734,.18900824,.14884996,.55187178,.24216978,.20595841
Kentucky,2017,.25169322,.50075775,.25470972,.051988099,.1925444,.15427317,.54676461,.24113891,.21209645
Kentucky,2018,.26898777,.46732113,.26155555,.048077188,.22304615,.24542683,.48524186,.30421025,.21054791
Louisiana,2013,.22429298,.53877538,.22645845,.068943538,.16582263,.16522348,.5814606,.23913933,.17940006
Louisiana,2014,.22041699,.53933245,.22277552,.070484653,.16740741,.15817006,.56958741,.24690437,.18350825
Louisiana,2015,.21486641,.5581494,.22152992,.067363873,.15295681,.17228737,.55269837,.26278561,.18451603
Louisiana,2016,.22197199,.54510117,.23150966,.075845286,.14754388,.16931434,.54278922,.27593359,.18127716
Louisiana,2017,.22638907,.53849477,.23191991,.077681452,.15190388,.18201455,.54513973,.24432412,.21053614
Louisiana,2018,.28424495,.53260756,.20165795,.090984285,.17475021,.14765702,.58731031,.23654866,.17614104
Maine,2013,.14855881,.48729149,.31088951,.050947528,.1508715,.1720136,.58977497,.24494018,.16528486
Maine,2014,.15073657,.48714325,.32015133,.046138305,.14656709,.170082,.57848358,.26598346,.15553293
Maine,2015,.16104427,.48906663,.31634036,.040347278,.15424575,.17470717,.56529295,.28545937,.14924766
Maine,2016,.16487023,.4819929,.31997582,.044775281,.15325601,.18174635,.5675236,.25509003,.17738634
Maine,2017,.16030203,.50921756,.31746557,.040701125,.13261575,.18091072,.53737175,.3041819,.15844633
Maryland,2013,.14979839,.61354911,.22332425,.04682425,.1163024,.14258765,.5917992,.27408814,.13411266
Maryland,2014,.14217331,.62779093,.22581658,.046290413,.10010209,.15449721,.59475648,.28292337,.12232012
Maryland,2015,.13899167,.61558831,.23341827,.04910408,.10188933,.14116593,.58628565,.28027165,.13344269
Maryland,2016,.14392273,.62884808,.23468959,.043171082,.093291275,.15203308,.60201365,.2715281,.12645829
Maryland,2017,.15359709,.64077389,.22043717,.045559648,.093229301,.15265745,.57438338,.28143448,.14418216
Maryland,2018,.15492538,.69081151,.21262194,.022722237,.073844306,.20442918,.69112921,.18559277,.12327799
Massachusetts,2013,.13758865,.56137097,.27217919,.048392788,.11805703,.19409898,.57673621,.28477442,.13848932
Massachusetts,2014,.14471442,.58524328,.2685172,.046698999,.099540494,.17422414,.55981565,.29072931,.14945501
Massachusetts,2015,.14590272,.59210986,.26835465,.044749439,.094786055,.17691624,.56885451,.28366601,.14747946
Massachusetts,2016,.14123692,.59504962,.26824149,.040013984,.096694894,.17804675,.56910354,.30287749,.12801899
Massachusetts,2017,.15209296,.61312592,.25022638,.050387643,.086260051,.18849657,.5710457,.30829757,.12065674
Massachusetts,2018,.054348271,1,0,0,0,.25442317,.89088917,0,.10911084
Michigan,2013,.1770739,.51597559,.26963463,.052628499,.16176125,.18912491,.57106078,.26727781,.1616614
Michigan,2014,.16778444,.52162969,.26644576,.056059189,.15586536,.1896742,.59509397,.24625307,.15865298
Michigan,2015,.17659381,.52981842,.26265034,.058592834,.14893842,.18522841,.57274169,.26408672,.16317159
Michigan,2016,.18192466,.53761226,.25707251,.061111286,.14420392,.18817028,.54698563,.27585837,.17715597
Michigan,2017,.18411176,.53859019,.27108029,.059136,.13119352,.18316887,.55591333,.26231369,.18177301
Michigan,2018,.17220937,.55092734,.24586758,.044764772,.15844031,.18744336,.49132541,.31586844,.19280615
Minnesota,2013,.12421768,.54126143,.278146,.056338318,.12425421,.21045874,.61295903,.26842862,.11861236
Minnesota,2014,.11994581,.57132769,.26625434,.048666995,.11375101,.19545624,.60058117,.28639871,.11302014
Minnesota,2015,.12411076,.57110602,.26742214,.049512543,.11195933,.19462562,.60152549,.27601874,.1224558
Minnesota,2016,.12676661,.58763701,.26032683,.046499643,.10553654,.21256125,.59575468,.27895749,.12528779
Minnesota,2017,.12753519,.59146589,.26350692,.046108194,.098919019,.20032565,.59040153,.28659844,.12300003
Minnesota,2018,0,.75070387,0,.24929614,0,.49859041,.19131371,.80868626,0
Mississippi,2013,.24453697,.53767276,.21478942,.071563385,.17597441,.12426504,.54654378,.23221427,.22124195
Mississippi,2014,.22360428,.54995334,.22052832,.075935364,.15358299,.12788382,.58159834,.21768861,.20071307
Mississippi,2015,.23566157,.55826664,.21684177,.067539334,.15735222,.11477166,.57869393,.22377934,.19752677
Mississippi,2016,.22927618,.54269826,.22950086,.063674107,.16412675,.12416443,.56182772,.25033623,.18783602
Mississippi,2017,.25238761,.56222701,.21608932,.058439776,.16324387,.12687768,.54196191,.25198534,.20605277
Mississippi,2018,.25009716,.85463899,.019439379,0,.12592165,.12592165,.96951926,0,.030480724
Missouri,2013,.18444422,.52682716,.25198171,.054580316,.16661084,.1715024,.56370628,.25184229,.18445143
Missouri,2014,.16830754,.54915929,.24470834,.048029512,.15810288,.15115708,.56759119,.25028428,.18212453
Missouri,2015,.17899439,.5188548,.25878066,.057714298,.16465026,.16650057,.56933558,.24446684,.18619758
Missouri,2016,.19080402,.51595747,.26255658,.048550118,.17293583,.18261573,.56844467,.24748729,.18406801
Missouri,2017,.19119728,.53276002,.26023877,.0450367,.16196455,.18736382,.55448979,.25728235,.18822785
Missouri,2018,.13183662,.57799065,.19135122,.040967178,.18969093,.23730023,.57458186,.29772228,.12769589
Montana,2013,.15354085,.54276222,.26756248,.049111653,.14056367,.20763947,.59256333,.24810107,.15933558
Montana,2014,.15425348,.5292505,.27164224,.059900939,.13920631,.18924314,.57833725,.26137614,.16028664
Montana,2015,.15119037,.53867459,.27181086,.060337313,.12917726,.19835702,.56239492,.26591676,.1716883
Montana,2016,.1567844,.54048789,.27523497,.052916788,.13136037,.18629022,.60799509,.23684549,.15515941
Montana,2017,.16070279,.55376726,.27143747,.053217117,.12157816,.19951904,.57702231,.26157707,.1614006
Montana,2018,.14768414,.58016372,.26391503,.028206611,.12771462,.18696861,.54082602,.2878089,.17136505
Nebraska,2013,.13957913,.56773895,.24728262,.047543731,.13743469,.20058428,.61341083,.26553929,.12104989
Nebraska,2014,.13323863,.57943541,.24672586,.051422536,.1224162,.20085591,.62781501,.24886663,.12331834
Nebraska,2015,.13851513,.58585644,.24381664,.045300227,.12502672,.19543289,.61482668,.26216272,.12301061
Nebraska,2016,.1472867,.58497137,.2450235,.049580589,.12042452,.2032041,.61271995,.2613503,.12592973
Nebraska,2017,.14749445,.5982039,.24793091,.043042719,.11082248,.20297681,.59676027,.27398002,.12925968
Nebraska,2018,.14349969,.61534065,.21696559,.049689502,.11800427,.22874619,.574489,.29935566,.12615533
Nevada,2013,.17109625,.580881,.22429469,.062049888,.1327744,.15211421,.59183472,.27792206,.13024324
Nevada,2014,.18652686,.58926624,.24069172,.061721664,.10832035,.16031131,.5811649,.26819205,.15064302
Nevada,2015,.17568663,.57241899,.25356227,.059130415,.11488831,.13718267,.59492916,.26313174,.1419391
Nevada,2016,.20831859,.59103018,.24561444,.05540223,.10795316,.15652627,.54979652,.27722171,.17298175
Nevada,2017,.20473659,.5836978,.2383997,.064968921,.11293357,.18028896,.53775781,.32223022,.14001195
Nevada,2018,.17219245,.58792585,.29804301,.037453108,.076578006,.2741566,.61605275,.295284,.08866325
New Hampshire,2013,.12589724,.52766043,.31066385,.039215911,.12245983,.16850866,.59964556,.26334673,.13700773
New Hampshire,2014,.13660966,.52393478,.30090573,.045689434,.12947002,.16828935,.60454488,.25283033,.14262481
New Hampshire,2015,.12081421,.53745347,.30317515,.046565976,.11280542,.16441882,.58911425,.25046358,.16042221
New Hampshire,2016,.14043882,.53771949,.28239191,.049923506,.12996507,.18061884,.5635528,.27503482,.16141236
New Hampshire,2017,.13930549,.54008102,.30392009,.03730008,.11869882,.18717726,.57155126,.28710809,.14134066
New Hampshire,2018,.017921932,.32687497,.4312073,.24191771,0,0,.48673153,.48479804,.028470419
New Jersey,2013,.16624084,.58574009,.25751841,.050395496,.10634601,.16323222,.60589629,.26076695,.13333678
New Jersey,2014,.16865441,.60605162,.24288455,.05641634,.094647475,.15863574,.61334592,.2613194,.12533467
New Jersey,2015,.16003786,.61174512,.25296408,.049509052,.085781775,.16117673,.59490901,.25439319,.15069781
New Jersey,2016,.17503524,.62353462,.23778877,.046992391,.091684252,.1585758,.58414161,.2455509,.1703075
New Jersey,2017,.18378109,.61082184,.252599,.05337175,.083207399,.16660526,.56645811,.27746442,.15607749
New Jersey,2018,0,.97769636,.022303635,0,0,.022303635,1,0,0
New Mexico,2013,.20765378,.55498344,.2538743,.064086877,.12705542,.14497909,.54440361,.27556026,.18003613
New Mexico,2014,.20868146,.55327857,.25544378,.065114588,.12616308,.13850059,.54536575,.25825363,.19638059
New Mexico,2015,.20505597,.57534057,.24838805,.063146479,.11312491,.12818973,.56186372,.26341924,.17471702
New Mexico,2016,.21623974,.57784826,.25461513,.062679574,.10485703,.15102507,.5434739,.28015396,.17637216
New Mexico,2017,.21601951,.5874685,.23905009,.066685162,.10679623,.14383504,.53255504,.2742371,.19320789
New Mexico,2018,.20925744,.58518523,.24465692,.045554601,.12460326,.21565261,.59541959,.32194617,.082634248
New York,2013,.18058428,.58395618,.25083858,.053910263,.11129498,.17356411,.57794613,.27756694,.14448693
New York,2014,.17134595,.62058926,.23552781,.049587715,.094295204,.14948308,.57842797,.27743432,.14413771
New York,2015,.16863661,.60387135,.24359022,.050367806,.10217065,.16795759,.5781039,.28488919,.13700691
New York,2016,.17024295,.62420684,.23442216,.048776492,.092594519,.17522252,.57363862,.28685603,.13950534
New York,2017,.17212398,.62959766,.2292228,.051872727,.089306809,.17513703,.56462389,.30688921,.12848693
New York,2018,0,.40552297,.16919078,0,.42528623,.65208501,1,0,0
North Carolina,2013,.19318751,.54726297,.2496452,.061046667,.14204516,.13111719,.5690524,.25319406,.17775351
North Carolina,2014,.19086896,.56499577,.24478498,.060270023,.12994923,.13351774,.57416582,.25048196,.1753522
North Carolina,2015,.18829203,.55029255,.25971806,.054758836,.13523056,.14173952,.57561117,.25607595,.16831288
North Carolina,2016,.18418077,.56812251,.25216129,.051829122,.12788709,.1450997,.60110843,.23757142,.16132012
North Carolina,2017,.1909056,.57226831,.25545949,.053205218,.119067,.15750974,.56491429,.25578013,.1793056
North Carolina,2018,.20749034,.52039462,.33708492,.054248318,.088272132,.090762898,.5502094,.231663,.21812762
North Dakota,2013,.14707391,.53696936,.25084081,.055703823,.156486,.23822547,.640899,.24103525,.11806575
North Dakota,2014,.14082187,.5594663,.24042158,.055552706,.14455944,.2403415,.66018224,.23733082,.10248695
North Dakota,2015,.13893041,.56699163,.2452687,.050703444,.13703623,.24088039,.62551653,.26733372,.10714978
North Dakota,2016,.1478859,.55639493,.245198,.058012713,.14039437,.24954283,.61913228,.25793236,.12293533
North Dakota,2017,.15346335,.56569827,.25112444,.049855549,.13332173,.23166153,.60844636,.28313982,.10841379
North Dakota,2018,0,.4341777,.5658223,0,0,.66158426,1,0,0
Ohio,2013,.18129613,.51426131,.25273213,.055215448,.17779109,.17019659,.56581718,.25789118,.17629166
Ohio,2014,.17856091,.5400207,.24939182,.054604091,.15598336,.18000939,.58985871,.24515612,.16498515
Ohio,2015,.16552073,.53985262,.2446918,.058939219,.15651636,.18359418,.59271717,.2541239,.15315893
Ohio,2016,.18023007,.53799647,.23681727,.052128293,.17305799,.1783046,.57706177,.25171661,.17122158
Ohio,2017,.18843175,.54457557,.24364935,.046914972,.16486008,.18974102,.55982351,.27505568,.1651208
Ohio,2018,.092239633,.52362698,.29538178,0,.18099122,.082952946,.43593562,.39214525,.17191915
Oklahoma,2013,.2071645,.51744848,.23999447,.065607369,.17694968,.12571643,.55246991,.24557081,.20195931
Oklahoma,2014,.20741816,.52786088,.26500443,.058277339,.14885737,.1242986,.56891775,.23526922,.19581303
Oklahoma,2015,.21334852,.53187293,.24530186,.062774792,.16005039,.13496247,.56182367,.225766,.21241032
Oklahoma,2016,.20153107,.54932183,.25650719,.054725979,.13944501,.11781294,.57426053,.23235331,.19338617
Oklahoma,2017,.21633177,.56346047,.23911989,.065271355,.13214827,.13287888,.56950551,.22694856,.20354594
Oklahoma,2018,.20538312,.53968644,.23965546,.081994675,.1386634,.14873083,.51512688,.30236655,.18250653
Oregon,2013,.17431323,.55390388,.27339745,.045489937,.12720872,.16512062,.5395354,.2965115,.16395308
Oregon,2014,.15604357,.56029856,.27076772,.048405584,.12052814,.16586101,.55016577,.28947791,.16035633
Oregon,2015,.18559375,.55890119,.26996669,.055324651,.11580745,.16695686,.55600375,.27572218,.16827407
Oregon,2016,.1644114,.56906307,.26941368,.044337284,.11718595,.16213387,.54844707,.30029917,.15125376
Oregon,2017,.17523585,.5827896,.25740376,.045083534,.11472309,.16122521,.5203017,.3229368,.1567615
Oregon,2018,.20453186,.37732452,.22643171,.27787122,.11837254,.10509831,0,.62199253,.37800744
Pennsylvania,2013,.16916212,.53129989,.25907975,.05317343,.15644689,.17136154,.58777863,.25232384,.15989757
